,type_of_property,subtype_of_property,bedrooms,bathrooms,region,province,postal_code,floor,living_area,state_of_property,year_of_construction,facade_count,heating,kitchen,epc_score,price,garden,terrace,neighborhood_type,fireplace,rooms,furnished,pools,age_of_property
8229,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Occidentale,8370,6.0,80.0,GOOD,1966.0,,FUELOIL,unknown,B,260000,,,FITTED_OUT,False,1.0,False,False,57.0
8230,APARTMENT,APARTMENT,1,2.0,Flandres,Anvers,2000,3.0,83.0,GOOD,1918.0,,GAS,unknown,B,495000,12.0,12.0,URBAN,False,1.0,False,False,105.0
8231,APARTMENT,APARTMENT,3,1.0,Wallonie,Liège,4000,1.0,188.0,GOOD,,2.0,GAS,HYPER_EQUIPPED,D,350000,,18.0,URBAN,False,11.0,False,True,
8232,APARTMENT,APARTMENT,2,1.0,Flandres,Limbourg,3580,1.0,113.0,GOOD,2016.0,,unknown,unknown,A,385000,,62.0,FITTED_OUT,False,1.0,False,False,7.0
8233,APARTMENT,APARTMENT,1,1.0,Flandres,Limbourg,3530,1.0,55.0,GOOD,1988.0,,ELECTRIC,unknown,D,155000,,,URBAN,False,1.0,False,False,35.0
8234,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Orientale,9100,1.0,134.0,GOOD,1994.0,,GAS,unknown,B,275000,,,URBAN,False,1.0,False,False,29.0
8235,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Orientale,9990,0.0,,GOOD,1995.0,,GAS,unknown,C,194000,,,FITTED_OUT,False,1.0,False,False,28.0
8236,HOUSE,VILLA,3,1.0,Flandres,Flandre Occidentale,8200,,,unknown,1985.0,4.0,unknown,INSTALLED,D,450000,,,unknown,False,,False,False,38.0
8237,HOUSE,HOUSE,4,3.0,Flandres,Anvers,2610,,,TO_RENOVATE,1938.0,2.0,unknown,unknown,unknown,185000,,,unknown,False,,False,False,85.0
8238,HOUSE,HOUSE,4,1.0,Flandres,Anvers,2800,,178.0,unknown,1895.0,2.0,unknown,unknown,F,195000,,,unknown,False,,False,False,128.0
8239,HOUSE,VILLA,4,2.0,Wallonie,Liège,4870,,185.0,GOOD,1995.0,4.0,FUELOIL,SEMI_EQUIPPED,E,369000,3217.0,35.0,COUNTRY,False,13.0,False,False,28.0
8240,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2950,,,TO_RENOVATE,1952.0,2.0,unknown,unknown,F,145000,,,unknown,False,,False,False,71.0
8241,HOUSE,HOUSE,2,1.0,Wallonie,Namur,5670,,,unknown,,,unknown,INSTALLED,E,120000,,,unknown,False,,False,False,
8242,HOUSE,HOUSE,3,1.0,Wallonie,Hainaut,7910,,244.0,unknown,1850.0,4.0,PELLET,INSTALLED,C,385000,1000.0,35.0,COUNTRY,False,,False,False,173.0
8243,HOUSE,HOUSE,2,2.0,Wallonie,Liège,4960,,167.0,GOOD,1930.0,2.0,FUELOIL,SEMI_EQUIPPED,D,275000,,,URBAN,False,,False,False,93.0
8244,HOUSE,TOWN_HOUSE,2,1.0,Wallonie,Liège,4020,,113.0,GOOD,1979.0,2.0,GAS,HYPER_EQUIPPED,C,199000,,,URBAN,False,,False,False,44.0
8245,HOUSE,APARTMENT_BLOCK,2,2.0,Wallonie,Liège,4960,,167.0,GOOD,1930.0,2.0,FUELOIL,SEMI_EQUIPPED,D,275000,,,URBAN,False,,False,False,93.0
8246,HOUSE,HOUSE,2,1.0,Flandres,Flandre Orientale,9320,,150.0,AS_NEW,1937.0,2.0,GAS,INSTALLED,D,274500,60.0,20.0,unknown,False,,False,False,86.0
8247,HOUSE,HOUSE,3,1.0,Flandres,Flandre Occidentale,8890,,177.0,AS_NEW,2023.0,2.0,GAS,unknown,unknown,299780,,,RESIDENTIAL,False,,False,False,0.0
8248,HOUSE,APARTMENT_BLOCK,4,2.0,Bruxelles,Bruxelles,1050,,160.0,TO_RENOVATE,,,unknown,unknown,F,525000,1.0,1.0,unknown,False,,False,False,
8249,HOUSE,HOUSE,7,3.0,Bruxelles,Bruxelles,1030,,164.0,TO_RENOVATE,,,GAS,unknown,E,329000,,23.0,unknown,False,9.0,False,False,
8250,HOUSE,APARTMENT_BLOCK,8,4.0,Bruxelles,Bruxelles,1180,,340.0,GOOD,1973.0,3.0,GAS,USA_INSTALLED,D,1100000,80.0,16.0,COUNTRY,False,,False,False,50.0
8251,HOUSE,HOUSE,4,2.0,Wallonie,Hainaut,6001,,155.0,GOOD,,4.0,GAS,INSTALLED,E,199000,,68.0,unknown,False,,False,False,
8252,HOUSE,HOUSE,4,2.0,Bruxelles,Bruxelles,1050,,160.0,unknown,,2.0,unknown,unknown,F,525000,1.0,1.0,unknown,False,,False,False,
8253,HOUSE,HOUSE,2,1.0,Flandres,Anvers,2820,,110.0,TO_RENOVATE,1930.0,3.0,GAS,INSTALLED,F,279000,,,URBAN,False,,False,False,93.0
8254,HOUSE,HOUSE,3,1.0,Wallonie,Liège,4101,,115.0,TO_BE_DONE_UP,,2.0,GAS,NOT_INSTALLED,G,169000,110.0,60.0,URBAN,False,,False,False,
8255,HOUSE,HOUSE,1,1.0,Flandres,Flandre Orientale,9042,,,GOOD,,2.0,GAS,INSTALLED,F,298000,200.0,,RESIDENTIAL,False,,False,False,
8256,HOUSE,HOUSE,2,1.0,Wallonie,Liège,4040,,100.0,TO_BE_DONE_UP,,2.0,GAS,INSTALLED,G,120000,,,unknown,False,,False,False,
8257,HOUSE,HOUSE,3,1.0,Wallonie,Luxembourg,6800,,168.0,TO_BE_DONE_UP,,3.0,FUELOIL,unknown,G,148000,,,unknown,False,,False,False,
8258,HOUSE,HOUSE,3,1.0,Flandres,Flandre Occidentale,8870,,164.0,unknown,,,GAS,INSTALLED,unknown,269000,,1.0,unknown,False,,False,False,
8259,HOUSE,HOUSE,2,1.0,Wallonie,Namur,5500,,,TO_RENOVATE,1850.0,2.0,GAS,INSTALLED,F,69000,,,URBAN,False,,False,False,173.0
8260,HOUSE,APARTMENT_BLOCK,4,1.0,Bruxelles,Bruxelles,1210,,210.0,TO_RENOVATE,,1.0,GAS,unknown,unknown,415000,,5.0,RESIDENTIAL,False,,False,False,
8261,HOUSE,HOUSE,3,,Wallonie,Hainaut,7100,,,unknown,,,unknown,unknown,G,190000,,,unknown,False,,False,False,
8262,HOUSE,HOUSE,2,,Wallonie,Hainaut,7783,,,GOOD,,2.0,GAS,INSTALLED,E,50000,,,unknown,False,,False,False,
8263,APARTMENT,APARTMENT,1,1.0,Flandres,Flandre Orientale,9400,0.0,70.0,GOOD,,2.0,GAS,SEMI_EQUIPPED,D,159000,198.0,,unknown,True,,False,False,
8264,HOUSE,HOUSE,2,1.0,Flandres,Flandre Orientale,9100,,101.0,TO_RENOVATE,,2.0,GAS,SEMI_EQUIPPED,E,160000,,,unknown,True,,False,False,
8265,HOUSE,HOUSE,2,,Wallonie,Hainaut,6031,,,unknown,,,unknown,unknown,D,130000,,,unknown,False,,False,False,
8266,APARTMENT,APARTMENT,2,1.0,Flandres,Flandre Orientale,9400,1.0,75.0,GOOD,,2.0,GAS,SEMI_EQUIPPED,B,155000,,,unknown,True,,False,False,
8267,APARTMENT,PENTHOUSE,2,1.0,Flandres,Anvers,2845,0.0,85.0,AS_NEW,2015.0,3.0,GAS,HYPER_EQUIPPED,unknown,445000,,93.0,RESIDENTIAL,False,,False,False,8.0
8268,APARTMENT,APARTMENT,2,1.0,Flandres,Limbourg,3520,1.0,79.0,GOOD,1979.0,2.0,GAS,unknown,C,179000,,,unknown,False,,False,False,44.0
